
Simulation, Energy, Runtime
energy-specsjeng_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_16.txt,1226.219665,1.674434,
energy-specbzip_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_256.txt,307.654923,0.084335,
energy-spechmmer_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_256.txt,213.913927,0.058993,
energy-speclibm_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_256.txt,334.585320,0.099564,
energy-specmcf_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_256.txt,235.939080,0.065080,
energy-specsjeng_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_256.txt,835.519822,0.258892,
energy-specbzip_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_32.txt,97.167427,0.095144,
energy-spechmmer_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_32.txt,64.241105,0.059842,
energy-speclibm_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_32.txt,266.645949,0.280514,
energy-specmcf_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_32.txt,66.581924,0.063297,
energy-specsjeng_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_32.txt,822.779199,0.882911,
